date,open,high,low,close,volume
2021-01-04,26040,26300,25910,26300,2151300
2021-01-05,26220,27760,26130,27400,2332200
2021-01-06,27570,27800,27230,27270,1796000
2021-01-07,27360,27490,27030,27300,2150200
2021-01-08,27520,27830,27360,27670,2720400
2021-01-11,27920,28270,27670,28270,1972800
2021-01-12,28390,28840,27960,28760,2435200
2021-01-13,28790,29440,28790,29050,2612000
2021-01-14,29050,29280,28710,29010,1777500
2021-01-15,29280,29280,29010,29100,1540400
2021-01-18,29280,29280,28930,28970,1209000
2021-01-19,28840,28890,26950,27080,3505600
2021-01-20,27400,27830,26300,27670,3663800
2021-01-21,28170,28760,27670,28660,2313100
2021-01-22,28710,29490,28570,29230,2090300
2021-01-25,29190,29800,28930,29280,3111900
2021-01-26,29490,29490,28620,28840,2597500
2021-01-27,28710,28890,27490,27520,2226800
2021-01-28,26220,27230,25610,25610,5092400
2021-01-29,25780,27400,25780,27400,3211900
2021-02-01,28130,28570,27230,27760,2017400
2021-02-02,27570,28840,27520,28840,3264600
2021-02-03,29490,30840,28890,30580,4173500
2021-02-04,30660,31980,30660,31680,4398700
2021-02-05,31900,32070,31370,31860,2084900
2021-02-08,31860,31860,30410,31150,4035600
2021-02-09,31200,32600,30580,32600,4224300
2021-02-17,33330,34510,33170,34030,3139100
2021-02-18,34070,34210,33470,34170,2243100
2021-02-19,33780,34070,33210,33470,3722700
2021-02-22,33470,33870,33240,33560,2319300
2021-02-23,33330,33650,32600,33000,3369500
2021-02-24,33210,33430,32729,32950,2225200
2021-02-25,33240,33330,32570,33290,1927500
2021-02-26,32770,33370,32729,33290,1936000
2021-03-01,33560,34070,33560,34030,2078100
2021-03-02,34460,34460,33600,34030,1821700
2021-03-03,34070,34120,33830,33960,1599400
2021-03-04,33960,33990,32820,33170,2901500
2021-03-05,33000,33210,32570,33170,2507500
2021-03-08,33210,33430,32950,33120,1656600
2021-03-09,32770,33080,32570,32770,2182400
2021-03-10,33170,33870,32770,33330,2602400
2021-03-11,33430,33700,33240,33510,1477800
2021-03-12,33650,33700,33330,33430,2062800
2021-03-15,33470,33870,33240,33430,1760900
2021-03-16,33650,35610,33470,35380,5111000
2021-03-17,35610,35610,34960,35300,1603200
2021-03-18,35380,35380,34960,35380,1807500
2021-03-19,34960,35170,34700,34870,2247800
2021-03-22,34740,34790,34210,34380,2084800
2021-03-23,34300,34960,34210,34430,2201700
2021-03-24,34030,34460,33430,33650,2480100
2021-03-25,33870,33870,33430,33470,2305400
