date,open,high,low,close,volume
2022-07-25,74060,75440,71930,72130,543700
2022-07-26,74200,74200,71640,72130,483400
2022-07-27,72060,72610,71300,72130,374600
2022-07-28,73720,75570,72690,73230,508900
2022-07-29,74410,75440,73570,74060,530100
2022-08-01,74060,75440,73570,74330,424900
2022-08-02,74060,74680,72820,73720,369900
2022-08-03,74610,77840,74410,77160,583600
2022-08-04,76810,77090,74760,75100,769800
2022-08-05,74270,75780,73360,75440,726100
2022-08-08,75160,77160,74410,76470,350600
2022-08-09,76690,77510,75780,77160,368600
2022-08-10,76470,77300,75850,76400,389600
2022-08-11,77160,78470,76690,77840,846900
2022-08-12,77840,79850,77840,78810,363800
2022-08-15,79230,79360,77650,78530,404300
2022-08-16,77840,78530,77160,78190,326200
2022-08-17,78530,79160,76810,77440,879200
2022-08-18,77840,81220,77090,78320,987400
2022-08-19,79160,81290,78810,79640,536800
2022-08-22,79500,80600,79020,79160,370200
2022-08-23,79570,80810,79570,80600,446500
2022-08-24,81290,82320,80600,80810,358100
2022-08-25,81220,81990,80260,80260,424500
2022-08-26,80260,80260,79290,79360,491500
2022-08-29,78680,80950,78680,80950,669800
2022-08-30,81020,82670,80600,81910,725100
2022-08-31,81160,81990,80540,80680,429300
2022-09-05,80120,80950,79710,80200,325500
2022-09-06,80950,81160,80200,80260,247300
2022-09-07,79910,79910,77160,77160,846100
2022-09-08,77840,78190,76200,77030,315200
2022-09-09,77780,78530,76880,78530,332700
2022-09-12,78530,79500,78190,78320,364100
2022-09-13,78270,79090,77710,78680,246500
2022-09-14,77360,78320,77030,77510,317100
2022-09-15,78530,78680,76600,77030,566200
2022-09-16,76470,77840,76120,76470,498800
2022-09-19,76470,77710,74410,74410,501200
2022-09-20,75780,75780,74060,75160,403400
2022-09-21,75160,75720,74610,75100,216700
2022-09-22,75100,76740,74950,76470,232400
2022-09-23,76740,78880,76470,77510,361700
2022-09-26,76470,78680,76470,78270,666700
2022-09-27,78530,78530,76470,76810,215200
2022-09-28,75780,77300,71640,71640,662800
2022-09-29,73360,74200,72340,72340,307600
2022-09-30,70270,77160,69850,75780,719100
2022-10-03,75100,75100,73230,73720,367400
2022-10-04,73780,75100,71300,73020,260400
2022-10-05,73090,75020,73090,73720,402300
2022-10-06,73850,74760,73650,73650,447800
2022-10-07,73650,73650,70270,70270,334000
2022-10-10,70270,75160,70270,73020,431000
2022-10-11,73020,75160,72340,73090,508200
2022-10-12,72400,74270,72400,73720,169800
2022-10-13,72960,74540,72400,74410,544600
2022-10-14,74470,75920,74410,75640,387800
2022-10-17,74330,77990,73850,76810,300100
2022-10-18,77990,77990,76470,76470,448500
2022-10-19,76540,77840,74410,75160,423200
2022-10-20,75100,76470,74540,76400,165200
2022-10-21,76400,77570,73850,73850,468300
2022-10-24,73850,75020,73360,73850,503600
2022-10-25,73850,75100,72750,73850,367300
2022-10-26,73850,74540,73650,74410,181800
2022-10-27,75020,76600,73780,75780,468600
2022-10-28,75850,76470,75100,75100,194100
2022-10-31,75100,76540,74760,76540,156300
2022-11-01,76740,78190,75230,75780,451300
2022-11-02,76200,78190,74880,75780,584100
2022-11-03,77030,77300,75780,76740,162300
2022-11-04,76740,77160,74470,76470,329600
2022-11-07,76810,78190,76810,77780,404900
2022-11-08,78470,79230,77780,78810,381600
2022-11-09,78880,80950,78810,80200,404800
2022-11-10,79290,80470,75780,78120,276200
2022-11-11,78270,80260,78270,78470,170100
2022-11-14,78320,79910,76330,78400,350400
2022-11-15,78400,78880,75100,76810,421000
2022-11-16,72690,80600,72690,80600,314700
2022-11-17,79640,82670,79640,82470,442400
2022-11-18,82050,82250,77160,78740,398600
2022-11-21,78740,78880,76120,76690,172200
2022-11-22,76540,79160,75160,75230,314100
2022-11-23,75510,76950,74410,74540,227700
2022-11-24,75100,75100,72340,72880,474500
2022-11-25,73720,74060,71640,72200,398800
2022-11-28,72200,77230,71640,77230,370200
2022-11-29,77160,78470,75020,77160,405200
2022-11-30,77160,77160,75780,75920,282900
2022-12-01,77160,77160,72340,73360,514400
2022-12-02,73360,77840,73360,76600,572000
2022-12-05,77840,78270,76260,77990,500600
2022-12-06,77840,78190,75100,75440,494500
2022-12-07,75440,76810,73570,73570,336900
2022-12-08,74470,76400,73020,73020,465900
2022-12-09,74330,74760,73020,73020,374700
2022-12-12,74410,74680,72340,72340,350200
2022-12-13,73650,74060,72400,72750,400900
2022-12-14,73440,74410,73360,74060,277500
2022-12-15,73720,74410,72750,73230,504800
2022-12-16,73230,74330,72880,73300,256100
2022-12-19,73020,73570,72480,72480,449500
2022-12-20,72340,72690,71370,72200,218300
2022-12-21,73020,73020,71300,71300,198400
2022-12-22,72340,72340,69720,69720,254000
2022-12-23,70610,71510,69930,69930,261500
2022-12-26,70340,72060,70340,70690,332400
2022-12-27,71580,71640,70960,71580,33100
2022-12-27,71580,71640,70130,71030,154700
2022-12-28,71370,71640,70410,70960,221800
2022-12-29,71580,71580,70690,70690,97600
2022-12-30,70690,70810,69930,69930,141500
2023-01-03,70270,72340,70210,72340,287800
2023-01-04,72690,72690,71640,72340,225000
2023-01-05,72340,73510,71990,73440,270100
2023-01-06,73360,73650,72060,72130,138800
2023-01-09,72540,72750,71640,71990,153500
2023-01-10,71990,72060,71030,72060,256300
2023-01-11,72270,72610,71720,71790,108100
2023-01-12,71790,72480,71790,72340,236800
2023-01-13,72060,72690,71930,71990,193100
2023-01-16,72200,72200,70960,70960,244900
2023-01-17,70960,72130,70610,71790,290300
2023-01-18,72270,72820,71790,71850,151800
2023-01-19,72130,72270,71300,71990,249800
2023-01-27,72400,75920,72400,74540,535400
2023-01-30,75100,75160,73440,73440,267500
2023-01-31,73440,74060,72750,73230,283700
2023-02-01,73650,76200,73020,73440,732800
2023-02-02,73720,74410,73300,73720,293900
2023-02-03,73570,73720,72480,72480,258900
2023-02-06,72480,73720,71790,73020,242000
2023-02-07,73510,74270,72340,73230,287400
2023-02-08,73230,74410,73170,73930,273500
2023-02-09,74330,74950,73930,74470,314600
2023-02-10,74470,74470,73090,73090,202400
2023-02-13,73090,74270,72540,72960,201400
2023-02-14,73230,73720,72750,72750,108200
2023-02-15,73020,74060,72820,73780,181700
2023-02-16,73300,75020,73300,74330,261100
2023-02-17,74060,74330,73510,73850,186300
2023-02-20,73930,75100,73930,75100,200100
2023-02-21,74760,75440,74610,74610,216200
2023-02-22,74060,75780,73650,73720,240700
2023-02-23,74130,74130,72200,72880,174700
2023-02-24,73020,74060,72340,73360,127400
2023-02-27,73360,73360,70960,71640,245200
2023-02-28,72340,72610,71240,71300,73500
2023-03-01,71100,72960,71100,72400,113000
2023-03-02,72340,72880,72060,72340,115100
2023-03-03,72960,72960,70810,71990,184400
2023-03-06,72340,72690,71370,71440,91900
2023-03-07,72270,72690,71580,71990,203700
2023-03-08,71510,72960,71440,72960,147800
2023-03-09,72540,74330,72540,73570,190600
2023-03-10,73230,73930,72690,73720,229400
2023-03-13,73720,74760,72960,74470,347000
2023-03-14,73230,74410,72690,74200,185000
2023-03-15,74200,74410,73440,73720,196300
2023-03-16,73720,73720,71790,72060,277700
2023-03-17,72540,73170,71440,71440,226600
2023-03-20,71640,72060,70890,70960,189500
2023-03-21,71100,71640,70690,71100,112000
2023-03-22,71640,71640,70760,70890,113100
2023-03-23,70610,70960,70270,70550,83700
2023-03-24,70690,71370,70340,70340,240100
2023-03-27,70610,71030,70410,70410,51400
2023-03-28,70550,71720,70550,71580,257000
2023-03-29,71440,71440,70690,70890,65900
2023-03-30,70960,71580,70610,70760,122700
2023-03-31,70550,71100,70130,70270,208500
2023-04-03,71370,71510,70270,70550,311600
2023-04-04,71300,71300,70130,70270,514500
2023-04-05,70890,70890,70130,70210,189300
2023-04-06,70760,70760,69850,70060,286900
2023-04-07,69850,70210,69650,69790,89500
2023-04-10,69650,70060,68620,68690,398700
2023-04-11,68540,69170,68540,68690,213700
2023-04-12,68880,69650,68620,68690,269100
2023-04-13,69510,69510,68690,68880,165000
2023-04-14,69370,69370,67860,67930,225100
2023-04-17,67640,67930,66890,67090,227300
2023-04-18,67170,67380,66610,66690,178600
2023-04-19,67170,67380,65510,65590,311500
2023-04-20,66130,67170,65860,66340,267200
2023-04-21,66690,66690,65590,65720,414800
2023-04-24,65800,65930,64410,64550,505900
2023-04-25,64760,64760,63380,63450,278500
2023-04-26,63100,64890,63100,64280,302400
2023-04-27,64480,64890,63580,63720,281800
2023-04-28,64280,64280,63580,63790,150400
2023-05-04,63450,63930,63100,63380,204200
2023-05-05,63380,63660,63100,63100,153000
2023-05-08,63520,64129,63520,64069,244200
2023-05-09,64410,65250,64410,64830,262800
2023-05-10,65170,65170,63930,64129,237500
2023-05-11,64410,64620,63520,63720,385400
2023-05-12,63380,63930,63380,63720,244400
2023-05-15,64069,64690,63580,63580,366200
2023-05-16,64069,64209,63520,63520,233100
2023-05-17,63720,64069,63240,63240,282500
2023-05-18,63380,64410,63240,64349,480900
2023-05-19,64209,65800,64129,64890,817500
2023-05-22,65800,65860,64760,65099,298400
2023-05-23,65370,65370,64129,64410,397800
2023-05-24,64550,64550,63720,63720,413900
2023-05-25,64069,65310,63720,65250,611300
2023-05-26,65720,65720,64410,64550,428800
2023-05-29,64760,65030,64410,64620,415700
2023-05-30,64620,64760,63930,64010,586500
2023-05-31,63930,64209,63930,63930,405400
2023-06-01,64410,64410,63380,63380,548100
2023-06-02,63580,63930,63380,63380,574800
2023-06-05,63790,64760,63790,64760,521600
2023-06-06,65099,66000,64970,65510,837700
2023-06-07,65590,65800,64620,65099,706700
2023-06-08,65459,65590,64280,64480,632000
2023-06-09,64480,64830,64209,64550,288800
2023-06-12,65030,65030,64010,64690,490200
2023-06-13,64970,65030,64480,64760,582100
2023-06-14,64830,65930,64830,65170,760100
2023-06-15,65370,67380,65250,66550,1299100
2023-06-16,66960,67090,65800,65800,589800
2023-06-19,65930,66760,65590,65590,637900
2023-06-20,65590,66480,65310,66480,508200
2023-06-21,66480,66480,65650,66000,483500
2023-06-22,66000,66480,65800,65860,812800
2023-06-23,66340,66340,65459,65590,628300
2023-06-26,65590,66340,65510,66130,942400
2023-06-27,66610,66830,66130,66340,510600
2023-06-28,66760,66760,65720,65720,762500
2023-06-29,65800,66000,65170,65170,710100
2023-06-30,65170,65459,64069,64069,681400
2023-07-03,64620,65099,64480,64760,380900
2023-07-04,65030,65720,64830,65510,498400
2023-07-05,65650,65650,64970,64970,410400
2023-07-06,65459,66480,65250,65590,1374300
2023-07-07,65930,66550,65650,66130,672500
2023-07-10,66480,67250,66410,67170,1125900
2023-07-11,67380,67520,66830,66960,719600
2023-07-12,67250,67250,66280,66480,568500
2023-07-13,66830,68620,66550,68410,1368300
2023-07-14,68540,69230,67860,68210,695200
2023-07-17,68270,68340,67580,68210,514100
2023-07-18,68210,69170,67860,68760,742300
2023-07-19,69100,69100,68130,68130,526000
2023-07-20,68000,68340,67170,68000,562600
2023-07-21,68000,68480,67580,68480,532600
2023-07-24,68690,68830,67790,67860,539100
2023-07-25,68060,68620,67860,68060,413300
2023-07-26,68060,68060,67640,67640,390200
2023-07-27,67860,68060,67580,67640,468200
2023-07-28,67520,68620,67520,68540,537300
2023-07-31,68970,70690,68970,70000,1189900
2023-08-01,70470,70470,69370,69370,608900
2023-08-02,69580,70000,68830,69170,330500
2023-08-03,69170,69230,68620,68620,451000
2023-08-04,68620,69510,68480,69100,544800
2023-08-07,69790,69790,68830,69510,351200
2023-08-08,69510,69850,69310,69720,529700
2023-08-09,69850,69850,69310,69580,371500
2023-08-10,70210,71440,69930,70270,771900
2023-08-11,70130,70270,69370,69930,344200
2023-08-14,70000,70210,69230,69310,549300
2023-08-15,69370,69370,68970,69170,326400
2023-08-16,69170,69850,68880,69020,403400
2023-08-17,68880,69580,68620,68880,416400
2023-08-18,68830,68830,67250,67250,905200
2023-08-21,67930,68480,67580,68270,451700
2023-08-22,68540,69580,68210,69100,598300
2023-08-23,69100,70340,69100,70210,724300
2023-08-24,70610,70610,70210,70550,553400
2023-08-25,70550,70550,69580,69850,539600
2023-08-28,70470,71510,70130,71100,687500
2023-08-29,72100,72100,70950,71310,543100
2023-08-30,71380,71380,70520,70880,426600
2023-08-31,70880,71030,70390,70390,573700
2023-09-05,71530,71530,70460,71100,420600
2023-09-06,71310,72670,71170,72450,547900
2023-09-07,72380,73660,71810,73450,911900
2023-09-08,73450,73740,72960,72960,548900
2023-09-11,73880,73880,72170,72380,371800
2023-09-12,72960,73950,72170,73310,588800
2023-09-13,73600,75880,73310,75380,1296300
2023-09-14,75380,77030,74600,75660,552900
2023-09-15,76390,78310,75740,78230,793000
2023-09-18,78450,79880,77090,77810,469500
2023-09-19,77810,79240,76810,78520,404100
2023-09-20,78520,78520,77370,77810,428400
2023-09-21,77520,77810,76030,76030,774100
2023-09-22,77010,77950,76070,77860,730800
2023-09-25,77860,78800,76230,76670,507700
2023-09-26,76670,77260,76070,76070,441600
2023-09-27,76230,76670,73660,76150,570500
2023-09-28,76920,78380,76150,78380,924000
2023-09-29,78550,78550,76670,77690,596500
2023-10-02,77520,77520,76150,76500,289100
2023-10-03,76070,76070,73660,73930,546000
2023-10-04,73660,74100,73500,73500,603600
2023-10-05,73410,73500,72120,72120,589900
2023-10-06,72040,72120,71100,72120,350400
2023-10-09,74100,74780,73240,74180,514800
2023-10-10,74690,75550,73160,74010,986100
2023-10-11,74520,74950,73240,73660,658700
2023-10-12,74010,74010,72810,73660,639900
2023-10-13,72890,73660,72300,73500,431800
2023-10-16,74100,75290,74100,74440,874500
2023-10-17,74270,74440,72980,72980,454400
2023-10-18,72810,72890,69810,71100,792800
2023-10-19,71100,71530,70150,70150,638800
2023-10-20,70410,71260,68530,71260,812700
2023-10-23,71360,71360,68870,69040,467400
2023-10-24,69380,69650,68530,69550,348400
2023-10-25,69380,69730,68870,68870,329400
2023-10-26,66640,68530,64680,64680,1072900
2023-10-27,65530,67250,64760,66470,377800
2023-10-30,66470,66560,65530,65620,256600
2023-10-31,65620,66040,65099,65620,355200
2023-11-01,66390,66390,65360,65870,296600
2023-11-02,66220,67840,65870,67840,444700
2023-11-03,68020,68270,67080,67750,455300
2023-11-06,67750,67750,66810,67670,415200
2023-11-07,67670,68870,67250,67500,309800
2023-11-08,66900,68530,66810,68530,504300
2023-11-09,68530,68870,67670,68530,628100
2023-11-10,67670,68530,67250,67410,525700
2023-11-13,67670,68100,67330,67670,306300
2023-11-14,67930,68270,67250,67750,445500
2023-11-15,68190,69130,68190,68610,823800
2023-11-16,68440,68530,67670,68530,652000
2023-11-17,68190,68270,67080,67410,778800
2023-11-20,66560,67580,66470,67080,572600
2023-11-21,67500,67750,67080,67670,379300
2023-11-22,67670,67930,67160,67670,481600
2023-11-23,67750,67840,65960,65960,611500
2023-11-24,66040,66470,65099,66390,624900
2023-11-27,66560,66560,65530,65790,404100
2023-11-28,65530,65960,64930,65960,526300
2023-11-29,65700,66810,65620,66640,596100
2023-11-30,66730,67080,65530,65530,465700
2023-12-01,65960,66730,65620,66560,492700
2023-12-04,66640,67750,66560,67670,783500
2023-12-05,67670,68440,67410,67670,661500
2023-12-06,67670,68360,67580,68360,480100
2023-12-07,68020,68100,66390,66730,856700
2023-12-08,66900,67410,66390,66470,884500
2023-12-11,67330,67330,66640,67080,694500
2023-12-12,67080,67160,66730,66980,471100
2023-12-13,66980,66980,65790,65870,1119800
2023-12-14,65870,66560,65700,65870,403200
2023-12-15,65870,65870,65099,65099,806600
2023-12-18,65099,65180,64680,64680,615300
2023-12-19,64239,64590,63560,64239,886500
2023-12-20,64680,64680,64069,64410,573700
2023-12-21,64239,64330,63730,63990,727800
2023-12-22,64160,64410,63650,63990,616600
2023-12-25,63990,65700,63990,65530,1056300
2023-12-26,65700,65700,64840,65450,755000
2023-12-27,65450,65700,65180,65360,706400
2023-12-28,65450,65450,64760,65099,767200
2023-12-29,65269,65360,64680,64680,1035000
